"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2,598237326E0;-4,234208167E-2;-1,894216537E-1;-2,734470367E-2;1,960131312E-1
2,614726188E0;-4,232633114E-2;-1,748573482E-1;5,546569824E-3;1,799927081E-1
2,631285555E0;-3,204983473E-2;-1,891425848E-1;-3,274059296E-2;1,946125785E-1
2,647806227E0;-6,087177992E-2;-2,129731476E-1;-1,300621033E-2;2,218830699E-1
2,664322166E0;-4,175673425E-2;-2,366806865E-1;-1,301765442E-2;2,406882455E-1
2,680829411E0;-2,739425004E-2;-2,556323409E-1;-2,858161926E-3;2,571118584E-1
2,697350692E0;-4,645523429E-2;-2,267033458E-1;-1,782131195E-2;2,320993213E-1
2,713860600E0;-4,642531276E-2;-2,025833130E-1;-1,304531097E-2;2,082438198E-1
2,730394912E0;-3,269723058E-2;-1,927786469E-1;-1,305770874E-2;1,959673936E-1
2,746912318E0;-4,642117023E-2;-2,163981497E-1;6,069183350E-3;2,214044246E-1
2,763435432E0;-4,169848561E-2;-2,496525347E-1;-2,684402466E-2;2,545304568E-1
2,779970893E0;-4,165804386E-2;-2,924313247E-1;7,239341736E-3;2,954723005E-1
2,796491665E0;-3,673270345E-2;-2,872577906E-1;-1,670551300E-2;2,900782720E-1
2,813008787E0;-4,121820629E-2;-2,582806051E-1;-2,955436707E-3;2,615655675E-1
2,829532377E0;-5,133666098E-2;-1,765465140E-1;-2,331256866E-2;1,853310558E-1
2,846051145E0;-4,654698074E-2;-9,036272764E-2;-5,836486816E-4;1,016483380E-1
2,862573698E0;-3,753127158E-2;-2,807494998E-2;-3,946971893E-2;6,127526316E-2
2,879093505E0;-5,663317442E-2;-3,771516681E-2;-2,032279968E-2;7,101243862E-2
2,895613432E0;-3,689153492E-2;-7,120421529E-2;-1,972484589E-2;8,258386749E-2
2,912137237E0;-4,631076753E-2;-1,667578518E-1;-1,374816895E-2;1,736141713E-1
2,928656575E0;-3,669895232E-2;-1,905502677E-1;1,200675964E-3;1,940558148E-1
2,945173493E0;-5,044889450E-2;-2,285591662E-1;-1,735782623E-2;2,347033820E-1
2,961703564E0;-4,072856903E-2;-2,331601083E-1;-7,793426514E-3;2,368188969E-1
2,978213899E0;-2,145716548E-2;-2,234631181E-1;-1,258373260E-2;2,248433353E-1
2,994746288E0;-5,010546744E-2;-2,280656695E-1;-7,805824280E-3;2,336352678E-1
3,011266716E0;-4,047140479E-2;-2,183679342E-1;-8,409500122E-3;2,222458301E-1
3,027779838E0;-3,144517541E-2;-2,086293995E-1;5,940437317E-3;2,110694535E-1
3,044280347E0;-4,976746440E-2;-1,941210628E-1;-2,277755737E-2;2,016893766E-1
3,060831495E0;-5,034060776E-2;-1,938698888E-1;-8,432388306E-3;2,004764718E-1
3,077340671E0;3,578001261E-2;-2,075099349E-1;-1,741218567E-2;2,112907158E-1
3,093872248E0;-6,880518794E-2;-2,365692854E-1;-1,263809204E-2;2,466959709E-1
3,110389439E0;-4,933184385E-2;-2,464757264E-1;-1,131439209E-1;2,756546052E-1
3,126905074E0;-5,498053133E-2;-2,014363706E-1;1,919374466E-1;2,836185002E-1
3,143427475E0;-3,432157636E-2;-2,609761357E-1;-2,178516388E-1;3,416809192E-1
3,159934962E0;-5,053475499E-2;-2,057097852E-1;1,829347610E-1;2,798846262E-1
3,176457291E0;-2,544762194E-2;-1,832803488E-1;-1,425046921E-1;2,335526814E-1
3,192963406E0;-4,043351114E-2;-2,110635042E-1;2,976226807E-2;2,169526774E-1
3,209499834E0;-5,883035064E-2;-2,155595720E-1;2,017974854E-2;2,243527612E-1
3,226019763E0;-3,014957905E-2;-1,962483823E-1;-1,332950592E-2;1,989977397E-1
3,242541603E0;-3,017961979E-2;-1,865188777E-1;-3,248023987E-2;1,917161109E-1
3,259049059E0;-3,549170494E-2;-1,910896003E-1;1,058197021E-2;1,946455100E-1
3,275597573E0;-4,034742713E-2;-1,860455871E-1;-2,293205261E-2;1,917465890E-1
3,292101978E0;-3,559137881E-2;-2,000268996E-1;-3,808021545E-3;2,032043499E-1
3,308636555E0;-3,492285311E-2;-1,901910901E-1;-2,774810791E-2;1,953515137E-1
3,325156941E0;-4,017871618E-2;-1,899740696E-1;-8,614540100E-3;1,943674012E-1
3,341680817E0;-3,964558244E-2;-1,944859624E-1;-1,819992065E-2;1,993183355E-1
3,358198293E0;-3,543409705E-2;-1,942125857E-1;-8,642196655E-3;1,976076700E-1
3,374715505E0;-3,958947957E-2;-1,891583800E-1;-2,301120758E-2;1,946220319E-1
3,391248242E0;-4,010803998E-2;-1,888893843E-1;-1,345157623E-2;1,935685906E-1
3,407758607E0;-3,529824317E-2;-1,505288184E-1;3,042221069E-4;1,546123659E-1
3,424286856E0;-3,523130715E-2;-1,695257425E-1;-2,363109589E-2;1,747531146E-1
3,440818830E0;-4,880246520E-2;-2,075666487E-1;-8,684158325E-3;2,134033947E-1
3,457323977E0;-5,349366367E-2;-2,456087172E-1;-1,288223267E-2;2,516965751E-1
3,473851058E0;-4,856067896E-2;-2,308740616E-1;6,243705750E-3;2,360083806E-1
3,490365930E0;-3,481924534E-2;-1,876268983E-1;-8,719444275E-3;1,910294781E-1
3,506876835E0;-2,519187331E-2;-1,920835078E-1;-3,949165344E-3;1,937686774E-1
3,523409713E0;-4,424588382E-2;-1,920490265E-1;1,040744781E-2;1,973546092E-1
3,539932327E0;-3,877957165E-2;-2,013267875E-1;-1,831912994E-2;2,058444098E-1
3,556448766E0;-3,894646466E-2;-1,963031888E-1;-1,833343506E-2;2,009673702E-1
3,572971828E0;-3,941226006E-2;-2,006944418E-1;5,577087402E-3;2,046037368E-1
3,589494971E0;-3,853559494E-2;-1,908908486E-1;-4,228687286E-2;1,992799232E-1
3,606010494E0;-3,919944167E-2;-1,906553209E-1;1,512908936E-2;1,952304714E-1
3,622537066E0;-3,368912637E-2;-1,951996684E-1;-2,316474915E-2;1,994353865E-1
3,639049894E0;-3,854171932E-2;-1,948578358E-1;-1,361179352E-2;1,990987725E-1
3,655575569E0;-3,447696567E-2;-1,897863448E-1;7,295608521E-4;1,928938830E-1
3,672084247E0;-3,434959054E-2;-1,657508910E-1;-1,901340485E-2;1,703372003E-1
3,688601439E0;-3,442499042E-2;-1,655942202E-1;4,904747009E-3;1,692057394E-1
3,705127460E0;-3,360304236E-2;-1,940644085E-1;-2,321910858E-2;1,983161267E-1
3,721641032E0;-4,318810999E-2;-1,985500157E-1;-4,091262817E-3;2,032340031E-1
3,738168253E0;-4,330401123E-2;-1,887401938E-1;-1,367568970E-2;1,941265635E-1
3,754693237E0;-3,425212204E-2;-1,837204397E-1;-8,899688721E-3;1,870978682E-1
3,771223817E0;-4,318912327E-2;-1,978248060E-1;-8,911132812E-3;2,026804443E-1
3,787738221E0;-3,373958170E-2;-1,975221038E-1;-1,849842072E-2;2,012350179E-1
3,804264832E0;-3,908967972E-2;-1,782494783E-1;-4,746437073E-3;1,825470029E-1
3,820814476E0;-3,357924521E-2;-1,876786053E-1;-3,286743164E-2;1,934711675E-1
3,837293774E0;-3,892719746E-2;-1,922637820E-1;6,237030029E-4;1,961659440E-1
3,853827110E0;-2,933500707E-2;-1,866859496E-1;5,399703979E-3;1,890538103E-1
3,870313958E0;-3,359365463E-2;-1,870407760E-1;-2,332592010E-2;1,914598759E-1
3,886872175E0;-2,928619087E-2;-1,766898632E-1;-2,861022949E-6;1,791004990E-1
3,903377466E0;1,536570489E-2;-1,639065742E-1;3,828496933E-1;4,167437554E-1
3,919932611E0;-4,252387583E-2;-9,791263938E-2;4,007530212E-1;4,147265955E-1
3,936415379E0;-2,743962407E-2;-1,442596316E-1;-1,918125153E-2;1,480935336E-1
3,952951554E0;-6,595212221E-2;-2,407948226E-1;-5,627250671E-2;2,559265989E-1
3,969460302E0;6,442259252E-2;-1,998318136E-1;5,885620117E-1;6,248906031E-1
3,985991359E0;-5,282366276E-2;-1,997050345E-1;2,445697784E-2;2,080158261E-1
